pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
05E78748, 521.71, 2.01749, 7.10553, 20.1749, 10, 0, 2, 2, 6.21452, 5.96383, 11
05E77E50, -2339.79, 1.14682, 9.38566, 887.317, 725, 414.168, 145, 145, 729.683, -473.603, 12
05E78520, 813.995, 18.2313, 7.70043, 90.5101, 5, 0.0354556, 1, 4, 20.9026, 82.8097, 12
05E785D8, 158.449, 5.92598, 6.8235, 168.536, 0, 0, 0, 1, -9.3062, 168.536, 12
05E78690, -1632.83, 2.27011, 8.85057, 391.716, 270, 300.353, 54, 118, 593.724, -86.2147, 12
05E78748, 527.673, 2.01749, 7.10553, 0, 0, 0, 0, 2, 12.0499, 0, 12
05E77E50, -2813.4, 1.90447, 7.59983, 462.766, 580, 751.178, 116, 247, 1236.79, -418.815, 13
05E78520, 896.805, 9.29723, 6.75729, 46.8158, 5, 0, 1, 1, 2.53242, 40.0585, 13
05E785D8, 326.984, 5.92598, 6.68771, 0, 0, 0, 0, 4, 20.1528, 0, 13
05E78690, -1719.05, 1.04289, 8.85057, 746.036, 415, 0, 83, 83, 28.2809, 11.4389, 13
05E78748, 527.673, 2.01749, 5.09986, 0, 0, 0, 0, 2, 5.06866, 0, 13
05E77E50, -3232.21, 1.51232, 7.59983, 411.474, 5, 484.096, 1, 1, -150.705, 403.874, 14
05E78520, 936.863, 9.29723, 3.62372, 0, 0, 0, 0, 1, 2.86862, 0, 14
05E785D8, 326.984, 2.34121, 11.5599, 46.8242, 20, 0, 4, 4, 7.9015, 0.584721, 14
05E78690, -1707.61, 1.5193, 5.19561, 381.975, 970, 718.585, 194, 282, 1413.11, -625.972, 14
05E78748, 527.673, 0.80188, 4.00685, 4.0094, 5, 0, 1, 1, 1.98732, 0.00255585, 14
05E77E50, -2828.34, 1.51887, 7.59983, 778.847, 175, 146.315, 35, 35, 177.854, 512.853, 15
05E78520, 936.863, 1.96867, 9.70444, 9.84333, 5, 0, 1, 1, 1.05874, 0.138887, 15
05E785D8, 327.569, 2.39374, 11.5599, 59.8434, 25, 0, 5, 5, 25.5609, 2.04405, 15
05E78690, -2333.58, 1.49111, 5.19561, 832.598, 5, 165.211, 1, 1, -8.42306, 827.403, 15
05E78748, 527.676, 0.808014, 4.00685, 12.1202, 15, 0, 3, 3, 15.1147, 0.0996699, 15
05E77E50, -2315.48, 2.3238, 3.26708, 246.102, 455, 495.41, 91, 154, 773.67, -51.2027, 16
05E78520, 937.002, 2.73349, 9.70444, 13.6674, 5, 0, 1, 1, 6.94249, 3.963, 16
05E785D8, 329.613, 2.46074, 11.5599, 73.8221, 30, 0, 6, 6, 30.8397, 4.46288, 16
05E78690, -1506.18, 2.3677, 3.54629, 202.432, 475, 554.713, 95, 170, 851.363, -134.465, 16
05E78748, 527.776, 0.914756, 4.00685, 32.0165, 35, 0, 7, 7, 39.6237, 3.96855, 16
05E77E50, -2366.69, 1.45984, 3.26708, 692.268, 5, 26.2011, 1, 1, -181.047, 689.001, 17
05E78520, 940.965, 3.65416, 9.70444, 18.2708, 5, 0, 1, 1, 6.68405, 8.56634, 17
05E785D8, 334.076, 2.67719, 11.5599, 107.087, 40, 0, 8, 8, 43.5184, 14.6085, 17
05E78690, -1640.64, 1.26848, 3.54629, 709.985, 5, 0, 1, 1, -254.85, 706.439, 17
05E78748, 531.744, 0.940495, 4.00685, 108.157, 115, 0, 23, 23, 118.236, 15.9995, 17
05E77E50, -1677.68, 3.29602, 2.61899, 100.307, 335, 330.768, 67, 157, 789.318, -75.1653, 18
05E78520, 949.531, 3.65416, 9.70444, 0, 0, 0, 0, 1, 5.00586, 0, 18
05E785D8, 348.685, 2.78032, 11.5599, 99.2305, 45, 9.30973, 9, 9, 46.7336, -4.8083, 18
05E78690, -934.206, 3.72536, 2.51983, 86.3428, 355, 331.823, 71, 208, 1042.59, -92.5648, 18
05E78748, 547.744, 0.948077, 4.00685, 251.241, 265, 0, 53, 53, 267.136, 38.8777, 18
05E77E50, -1752.85, 1.34318, 2.61899, 293.418, 5, 117.318, 1, 1, -193.937, 290.799, 19
05E78520, 949.531, 1.149, 5.69687, 5.74501, 5, 0, 1, 1, 1.57219, 0.0481448, 19
05E785D8, 343.876, 2.3882, 14.1052, 129.703, 45, 0, 9, 9, 37.3405, 2.75567, 19
05E78690, -1026.77, 1.40747, 2.51983, 215.065, 5, 184.02, 1, 1, -204.569, 212.545, 19
05E78748, 586.621, 0.949604, 4.00685, 300.208, 790, 473.859, 158, 158, 791.272, -332.874, 19
05E77E50, -1462.05, 3.11249, 2.61899, 113.025, 85, 166.004, 17, 70, 351.504, 68.5022, 20
05E78520, 949.58, 1.23646, 5.69687, 12.3646, 10, 0, 2, 2, 10.7612, 0.970907, 20
05E785D8, 346.632, 2.52956, 13.8245, 164.422, 65, 0, 13, 13, 68.8474, -15.2975, 20
05E78690, -814.226, 2.05385, 2.51983, 182.02, 65, 160.396, 13, 35, 179.362, 149.263, 20
05E78748, 253.748, 0.764659, 5.96565, 521.331, 775, 567.078, 155, 158, 531.772, -403.344, 20
05E77E50, -1393.55, 1.96009, 2.61899, 197.394, 0, 65.2979, 0, 1, -61.4634, 197.394, 21
05E78520, 950.551, 1.54715, 5.69687, 23.2072, 15, 0, 3, 3, 18.769, 6.11659, 21
05E785D8, 331.335, 2.65, 13.6863, 135.482, 70, 18.8746, 14, 14, 73.3328, -56.126, 21
05E78690, -664.963, 2.05856, 2.72861, 221.852, 20, 72.6256, 4, 35, 20.4139, 210.938, 21
05E78748, -149.597, 1.11374, 5.18263, 407.995, 895, 1095.75, 179, 312, 1562.47, -519.696, 21
05E77E50, -1196.15, 4.65952, 2.54121, 57.2013, 10, 63.0217, 2, 22, 113.7, 52.1189, 22
05E78520, 956.667, 1.68256, 5.69687, 42.064, 25, 0, 5, 5, 27.1881, 13.5796, 22
05E785D8, 275.209, 2.22135, 13.6863, 152.472, 65, 15.2352, 13, 13, 51.433, -25.4494, 22
05E78690, -454.025, 4.95721, 2.10115, 86.1977, 5, 60.2373, 1, 23, 114.304, 84.0966, 22
05E78748, -669.293, 0.731268, 5.18263, 647.238, 895, 1105.67, 179, 278, 211.346, -280.453, 22
05E77E50, -1144.04, 2.57497, 2.54121, 153.193, 0, 3.52867, 0, 1, -28.1944, 153.193, 23
05E78520, 970.247, 1.685, 5.69687, 58.975, 35, 0, 7, 7, 35.0508, 19.097, 23
05E785D8, 249.759, 2.23519, 13.5494, 162.437, 70, 12.5625, 14, 14, 70.5308, -27.2549, 23
05E78690, -369.929, 3.06413, 2.10115, 150.327, 0, 11.177, 0, 1, -23.0037, 150.327, 23
05E78748, -949.746, 1.03687, 5.18263, 433.98, 895, 1582.12, 179, 346, 1731.08, -493.711, 23
05E77E50, -990.843, 55.7487, 2.25249, 23.3218, 0, 3.11033, 0, 14, 72.8681, 23.3218, 24
05E78520, 989.344, 1.8354, 5.69687, 100.947, 55, 0, 11, 11, 59.9093, 38.2816, 24
05E785D8, 222.504, 2.31249, 13.4139, 194.274, 90, 18.5517, 18, 18, 93.5471, -47.1769, 24
05E78690, -219.602, 16.3534, 1.93882, 33.1134, 0, 9.15213, 0, 9, 48.4751, 33.1134, 24
05E78748, -1443.46, 0.722911, 5.18263, 664.317, 855, 1518.17, 171, 336, 117.058, -221.913, 24
05E77E50, -967.521, 26.1565, 2.25249, 47.6076, 0, 1.29022, 0, 1, -1.65101, 47.6076, 25
05E78520, 1027.63, 2.95447, 5.69687, 132.951, 45, 0, 9, 14, 72.4371, 81.6795, 25
05E785D8, 175.327, 2.2897, 13.4139, 237.103, 85, 0, 17, 17, 83.9796, 9.06584, 25
05E78690, -186.488, 8.55705, 1.93882, 78.3152, 0, 0, 0, 1, -4.3632, 78.3152, 25
05E78748, -1665.37, 0.943061, 6.58057, 642.867, 870, 1706.49, 174, 336, 1597.28, -502.151, 25
