pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 9275.66, 6.43522, 10.6667, 200, 30, 199.91, 6, 6, 25.174, 136, 63
0597C998, 9411.66, 7.78662, 9.14286, 200, 35, 209.227, 7, 7, 34.1869, 136, 64
0597C998, 9547.66, 6.30716, 10.6667, 200, 30, 207.516, 6, 6, 25.6851, 136, 65
0597C998, 9683.66, 7.63166, 9.14286, 200, 35, 216.31, 7, 7, 34.881, 136, 66
0597C998, 9819.66, 6.18165, 10.6667, 200, 30, 213.956, 6, 6, 26.2066, 136, 67
0597C998, 9955.66, 7.47979, 8, 200, 40, 227.216, 8, 8, 35.5893, 136, 68
0597C998, 10091.7, 6.05863, 10.6667, 200, 30, 224.205, 6, 6, 26.7387, 136, 69
0597C998, 10227.7, 7.33094, 8, 200, 40, 236.923, 8, 8, 36.3119, 136, 70
0597C998, 10363.7, 5.93806, 10.6667, 200, 30, 233.242, 6, 6, 27.2816, 136, 71
0597C998, 10499.7, 7.18506, 8, 200, 40, 245.405, 8, 8, 37.0492, 136, 72
0597C998, 10635.7, 5.8199, 10.6667, 200, 30, 241.04, 6, 6, 27.8355, 136, 73
0597C998, 10771.7, 7.04207, 8, 200, 40, 252.641, 8, 8, 37.8013, 136, 74
0597C998, 10907.7, 5.70408, 10.6667, 200, 30, 247.577, 6, 6, 28.4008, 136, 75
0597C998, 11043.7, 6.90194, 8, 200, 40, 258.597, 8, 8, 38.5689, 136, 76
0597C998, 11179.7, 5.59057, 10.6667, 200, 30, 252.824, 6, 6, 28.9773, 136, 77
0597C998, 11315.7, 6.76459, 8, 200, 40, 263.259, 8, 8, 39.352, 136, 78
0597C998, 11451.7, 5.47932, 10.6667, 200, 30, 256.76, 6, 6, 29.5658, 136, 79
0597C998, 11587.7, 6.62997, 7.11111, 200, 45, 271.596, 9, 9, 40.151, 136, 80
0597C998, 11723.7, 5.37028, 9.14286, 200, 35, 269.353, 7, 7, 30.166, 136, 81
0597C998, 11859.7, 6.49804, 7.11111, 200, 45, 283.573, 9, 9, 40.9663, 136, 82
0597C998, 11995.7, 5.26341, 9.14286, 200, 35, 280.572, 7, 7, 30.7785, 136, 83
0597C998, 12131.7, 6.36873, 7.11111, 200, 45, 294.17, 9, 9, 41.798, 136, 84
0597C998, 12267.7, 5.15867, 9.14286, 200, 35, 290.4, 7, 7, 31.4034, 136, 85
0597C998, 12403.7, 6.24199, 7.11111, 200, 45, 303.357, 9, 9, 42.6466, 136, 86
0597C998, 12539.7, 5.05601, 9.14286, 200, 35, 298.8, 7, 7, 32.0411, 136, 87
0597C998, 12675.7, 6.11777, 7.11111, 200, 45, 311.109, 9, 9, 43.5126, 136, 88
0597C998, 12811.7, 4.9554, 9.14286, 200, 35, 305.747, 7, 7, 32.6916, 136, 89
0597C998, 12947.7, 5.99603, 7.11111, 200, 45, 317.391, 9, 9, 44.396, 136, 90
0597C998, 13083.7, 4.85678, 9.14286, 200, 35, 311.211, 7, 7, 33.3554, 136, 91
0597C998, 13219.7, 5.87671, 6.4, 200, 50, 327.177, 10, 10, 45.2976, 136, 92
0597C998, 13355.7, 4.76013, 9.14286, 200, 35, 320.161, 7, 7, 34.0327, 136, 93
0597C998, 13491.7, 5.75976, 6.4, 200, 50, 335.438, 10, 10, 46.2172, 136, 94
0597C998, 13627.7, 4.66541, 9.14286, 200, 35, 327.567, 7, 7, 34.7237, 136, 95
0597C998, 13763.7, 5.64514, 6.4, 200, 50, 342.136, 10, 10, 47.1557, 136, 96
0597C998, 13899.7, 4.57256, 8, 200, 40, 338.398, 8, 8, 35.4286, 136, 97
0597C998, 14035.7, 5.5328, 6.4, 200, 50, 352.253, 10, 10, 48.1132, 136, 98
0597C998, 14171.7, 4.48157, 8, 200, 40, 347.624, 8, 8, 36.1481, 136, 99
0597C998, 14307.7, 5.4227, 6.4, 200, 50, 360.741, 10, 10, 49.09, 136, 100
